tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,tiempos_c5,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
49296,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,55417,False
1000000000000,52972,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,55722,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,59686,1000000000000,False
52013,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,51687,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,58925,1000000000000,1000000000000,False
50436,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
56927,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
53888,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
51479,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
58565,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,56086,False
1000000000000,1000000000000,1000000000000,57703,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,56091,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,58641,1000000000000,False
1000000000000,55846,1000000000000,1000000000000,1000000000000,1000000000000,True
52247,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
58969,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,59248,1000000000000,False
1000000000000,1000000000000,1000000000000,56645,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,57806,False
1000000000000,1000000000000,1000000000000,59239,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59706,1000000000000,1000000000000,False
1000000000000,56744,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,55318,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,56770,1000000000000,1000000000000,1000000000000,True
1000000000000,58661,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,57799,1000000000000,1000000000000,1000000000000,True
33827,39767,53627,1000000000000,1000000000000,1000000000000,True
