tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,indicador
1000000000000,1000000000000,1000000000000,1000000000000,57642,False
57699,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,56410,False
58503,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,57136,1000000000000,False
1000000000000,58078,1000000000000,1000000000000,1000000000000,True
59033,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,55740,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,57818,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
56350,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,59366,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,55327,False
1000000000000,1000000000000,1000000000000,58191,1000000000000,False
54279,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,54712,1000000000000,1000000000000,1000000000000,True
