tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,tiempos_c5,tiempos_c6,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,57584,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,56999,1000000000000,False
1000000000000,1000000000000,1000000000000,56899,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59534,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,57242,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,56627,1000000000000,1000000000000,1000000000000,False
1000000000000,56322,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,57738,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,56167,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,58341,1000000000000,False
1000000000000,1000000000000,1000000000000,58621,1000000000000,1000000000000,1000000000000,False
1000000000000,55735,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,38277,60475,1000000000000,1000000000000,1000000000000,1000000000000,True
