tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,indicador
1000000000000,1000000000000,1000000000000,57726,1000000000000,False
1000000000000,1000000000000,59404,1000000000000,1000000000000,False
48849,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,58296,1000000000000,False
1000000000000,49500,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,51425,1000000000000,1000000000000,1000000000000,True
58482,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,56129,1000000000000,1000000000000,False
49747,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,56423,1000000000000,False
1000000000000,50512,1000000000000,1000000000000,1000000000000,True
57713,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,52971,1000000000000,1000000000000,False
51804,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,58676,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,55825,False
