status,start_timestamp,end_timestamp,elapsed_total_sec,elapsed_total_min,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,alns_max_iterations,dynamic_insertion_n_scenarios,run_msa_on_request_arrival_if_vehicle_waiting,seed,served_customers,outsourced_customers,total_customers,total_profit,total_possible_profit,profit_rate,total_distance_km,nb_trips,dynamic_pickups_inserted,dynamic_pickups_postponed,dynamic_pickups_undecided,solver,consensus_mode,parallel_workers,msa_calls,msa_scenarios_completed,msa_total_wall_time_sec,msa_avg_wall_time_sec,msa_max_wall_time_sec,parallel_worker_errors,parallel_fallback_tasks,service_rate,run_id
ok,2026-06-19T17:06:31,2026-06-19T17:11:05,273.62693949998356,4.560448991666393,1,70,20,140,30.0,process,16,1,False,10000,5,True,42,98,105,203,130.0,326.0,0.3987730061349693,465.95955585868,5,63,13,1,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,6,120,229.53826309996657,38.256377183327764,61.05338140018284,0,0,0.4827586206896552,44
ok,2026-06-19T17:11:06,2026-06-19T17:19:20,493.59730729996227,8.226621788332704,1,70,30,140,30.0,process,16,1,False,10000,5,True,42,116,88,204,156.0,325.0,0.48,429.31692859662144,7,74,5,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,9,270,428.0759150998201,47.56399056664668,61.2343049000483,0,0,0.5686274509803921,45
ok,2026-06-19T17:19:21,2026-06-19T17:29:40,619.234572699992,10.320576211666532,1,70,40,140,30.0,process,16,1,False,10000,5,True,42,88,108,196,115.0,324.0,0.3549382716049383,469.7812330853798,6,57,5,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,9,360,560.2003858999815,62.24448732222017,91.4857548000291,0,0,0.4489795918367347,46
ok,2026-06-19T17:29:42,2026-06-19T17:43:09,807.551502399845,13.459191706664084,1,70,50,140,30.0,process,16,1,False,10000,5,True,42,98,85,183,142.0,304.0,0.46710526315789475,462.28579559222,7,50,7,1,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,11,550,744.3181781002786,67.66528891820714,121.68163510016166,0,0,0.5355191256830601,47
ok,2026-06-19T17:43:10,2026-06-19T17:57:36,865.5614382999483,14.426023971665806,1,70,60,140,30.0,process,16,1,False,10000,5,True,42,109,95,204,146.0,326.0,0.44785276073619634,428.93932893774826,5,71,8,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,9,540,755.4897210001945,83.94330233335495,121.88143750000745,0,0,0.5343137254901961,48
ok,2026-06-19T17:57:38,2026-06-19T18:01:19,221.39471220015548,3.6899118700025912,1,80,15,140,30.0,process,16,1,False,10000,5,True,42,108,107,215,130.0,332.0,0.39156626506024095,446.2624425322288,5,85,8,4,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,15,8,120,173.45449170004576,21.68181146250572,30.90295989997685,0,0,0.5023255813953489,49
ok,2026-06-19T18:01:20,2026-06-19T18:07:18,357.56962520000525,5.959493753333421,1,80,20,140,30.0,process,16,1,False,10000,5,True,42,102,125,227,122.0,366.0,0.3333333333333333,447.2704691695291,6,80,4,0,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,10,200,306.2129407997709,30.621294079977087,61.06064150016755,0,0,0.44933920704845814,50
ok,2026-06-19T18:07:20,2026-06-19T18:14:43,443.62805409985594,7.393800901664266,1,80,30,140,30.0,process,16,1,False,10000,5,True,42,100,103,203,129.0,323.0,0.3993808049535604,448.9960645359867,5,69,8,4,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,10,300,382.3868207000196,38.23868207000196,61.257091799983755,0,0,0.49261083743842365,51
ok,2026-06-19T18:14:45,2026-06-19T18:24:48,603.4038446000777,10.05673074333463,1,80,40,140,30.0,process,16,1,False,10000,5,True,42,89,81,170,120.0,273.0,0.43956043956043955,451.36999513517657,5,56,5,4,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,9,360,542.9595683000516,60.328840922227954,91.40615279995836,0,0,0.5235294117647059,52
ok,2026-06-19T18:24:50,2026-06-19T18:34:34,584.6130035000388,9.743550058333978,1,80,50,140,30.0,process,16,1,False,10000,5,True,42,91,94,185,107.0,294.0,0.36394557823129253,460.60707195489164,5,74,1,0,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,8,400,498.762851000065,62.34535637500812,121.65020610019565,0,0,0.4918918918918919,53
ok,2026-06-19T18:34:36,2026-06-19T18:45:29,653.5184899999294,10.891974833332158,1,80,60,140,30.0,process,16,1,False,10000,5,True,42,99,110,209,136.0,354.0,0.384180790960452,456.8632112744047,6,61,0,0,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,7,420,573.3650973003823,81.90929961434033,121.8590921999421,0,0,0.47368421052631576,54
ok,2026-06-19T18:45:31,2026-06-19T18:49:25,233.52397190011106,3.8920661983351845,1,90,15,140,30.0,process,16,1,False,10000,5,True,42,108,87,195,148.0,308.0,0.4805194805194805,446.25426322410806,6,68,12,1,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,15,10,150,195.7230344992131,19.57230344992131,30.87991389981471,0,0,0.5538461538461539,55
ok,2026-06-19T18:49:26,2026-06-19T18:53:51,265.165403699968,4.419423394999467,1,90,20,140,30.0,process,16,1,False,10000,5,True,42,103,112,215,132.0,344.0,0.38372093023255816,458.8271789602943,5,72,5,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,6,120,219.87739639985375,36.646232733308956,61.03484749980271,0,0,0.4790697674418605,56
ok,2026-06-19T18:53:53,2026-06-19T18:58:06,252.9929533000104,4.21654922166684,1,90,30,140,30.0,process,16,1,False,10000,5,True,42,105,137,242,124.0,369.0,0.33604336043360433,460.0342300452726,4,82,24,3,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,5,150,170.89084149966948,34.178168299933894,62.16676929988898,0,0,0.43388429752066116,57
ok,2026-06-19T18:58:08,2026-06-19T19:08:28,619.7746015000157,10.329576691666928,1,90,40,140,30.0,process,16,1,False,10000,5,True,42,94,71,165,136.0,273.0,0.4981684981684982,459.61515664955505,7,51,5,0,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,10,400,569.3092712997459,56.93092712997459,91.4165340999607,0,0,0.5696969696969697,58
ok,2026-06-19T19:08:29,2026-06-19T19:18:01,571.8103800001554,9.53017300000259,1,90,50,140,30.0,process,16,1,False,10000,5,True,42,90,137,227,105.0,354.0,0.2966101694915254,469.14896007372204,4,72,20,5,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,6,300,456.0908135995269,76.01513559992115,121.63872309983708,0,0,0.3964757709251101,59
ok,2026-06-19T19:18:03,2026-06-19T19:31:42,819.5384182999842,13.65897363833307,1,90,60,140,30.0,process,16,1,False,10000,5,True,42,101,99,200,130.0,323.0,0.4024767801857585,438.2007432443126,6,71,3,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,12,720,714.7823607996106,59.56519673330089,121.86841980018653,0,0,0.505,60
