tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,tiempos_c5,tiempos_c6,indicador
1000000000000,1000000000000,1000000000000,1000000000000,48762,1000000000000,1000000000000,False
51529,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,50396,1000000000000,False
1000000000000,50094,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,48530,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,44915,False
1000000000000,1000000000000,1000000000000,1000000000000,50632,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,51380,1000000000000,False
59183,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,47653,1000000000000,1000000000000,False
1000000000000,44337,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,46299,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
45153,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52260,1000000000000,1000000000000,1000000000000,False
1000000000000,45506,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
59817,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,46220,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,50098,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,52598,1000000000000,False
1000000000000,1000000000000,1000000000000,50164,1000000000000,1000000000000,1000000000000,False
44491,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
45632,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
