t,c_x,c_y
48086,13730.6103515625,15251.708984375
48087,13723.666015625,15251.708984375
48088,13716.7216796875,15251.708984375
48089,13709.77734375,15251.708984375
48090,13702.8330078125,15251.708984375
48091,13695.888671875,15251.708984375
48092,13688.9443359375,15251.708984375
48093,13682.0,15251.708984375
48094,13675.0556640625,15251.708984375
48095,13668.111328125,15251.708984375
48096,13661.1669921875,15251.708984375
48097,13654.22265625,15251.708984375
48098,13647.2783203125,15251.708984375
48099,13640.333984375,15251.708984375
48100,13633.3896484375,15251.708984375
48101,13626.4453125,15251.708984375
48102,13619.5009765625,15251.708984375
48103,13612.556640625,15251.708984375
48104,13605.6123046875,15251.708984375
48105,13598.66796875,15251.708984375
48106,13591.7236328125,15251.708984375
48107,13584.779296875,15251.708984375
48108,13577.8349609375,15251.708984375
48109,13570.890625,15251.708984375
48110,13563.9462890625,15251.708984375
48111,13557.001953125,15251.708984375
48112,13550.0576171875,15251.708984375
48113,13543.11328125,15251.708984375
48114,13536.1689453125,15251.708984375
48115,13529.224609375,15251.708984375
48116,13522.2802734375,15251.708984375
48117,13515.3359375,15251.708984375
48118,13508.3916015625,15251.708984375
48119,13501.447265625,15251.708984375
48120,13494.5029296875,15251.708984375
48121,13487.55859375,15251.708984375
48122,13480.6142578125,15251.708984375
48123,13473.669921875,15251.708984375
48124,13466.7255859375,15251.708984375
48125,13459.78125,15251.708984375
48126,13452.8369140625,15251.708984375
48127,13445.892578125,15251.708984375
48128,13438.9482421875,15251.708984375
48129,13432.00390625,15251.708984375
48130,13425.0595703125,15251.708984375
48131,13418.115234375,15251.708984375
48132,13411.1708984375,15251.708984375
48133,13404.2265625,15251.708984375
48134,13397.2822265625,15251.708984375
48135,13390.337890625,15251.708984375
48136,13383.3935546875,15251.708984375
48137,13376.44921875,15251.708984375
48138,13369.5048828125,15251.708984375
48139,13362.560546875,15251.708984375
48140,13355.6162109375,15251.708984375
48141,13348.671875,15251.708984375
48142,13341.7275390625,15251.708984375
48143,13334.783203125,15251.708984375
48144,13327.8388671875,15251.708984375
48145,13320.89453125,15251.708984375
48146,13313.9501953125,15251.708984375
48147,13307.005859375,15251.708984375
48148,13300.0615234375,15251.708984375
48149,13293.1171875,15251.708984375
48150,13286.1728515625,15251.708984375
48151,13279.228515625,15251.708984375
48152,13272.2841796875,15251.708984375
48153,13265.33984375,15251.708984375
48154,13258.3955078125,15251.708984375
48155,13251.451171875,15251.708984375
48156,13244.5068359375,15251.708984375
48157,13237.5625,15251.708984375
48158,13230.6181640625,15251.708984375
48159,13223.673828125,15251.708984375
48160,13216.7294921875,15251.708984375
48161,13209.78515625,15251.708984375
48162,13202.8408203125,15251.708984375
48163,13195.896484375,15251.708984375
48164,13188.9521484375,15251.708984375
48165,13182.0078125,15251.708984375
48166,13175.0634765625,15251.708984375
48167,13168.119140625,15251.708984375
48168,13161.1748046875,15251.708984375
48169,13154.23046875,15251.708984375
48170,13147.2861328125,15251.708984375
48171,13140.341796875,15251.708984375
48172,13133.3974609375,15251.708984375
48173,13126.453125,15251.708984375
48174,13119.5087890625,15251.708984375
48175,13112.564453125,15251.708984375
48176,13105.6201171875,15251.708984375
48177,13098.67578125,15251.708984375
48178,13091.7314453125,15251.708984375
48179,13084.787109375,15251.708984375
48180,13077.8427734375,15251.708984375
48181,13070.8984375,15251.708984375
48182,13063.9541015625,15251.708984375
48183,13057.009765625,15251.708984375
48184,13050.0654296875,15251.708984375
48185,13043.12109375,15251.708984375
48186,13036.1767578125,15251.708984375
48187,13029.232421875,15251.708984375
48188,13022.2880859375,15251.708984375
48189,13015.34375,15251.708984375
48190,13008.3994140625,15251.708984375
48191,13001.455078125,15251.708984375
48192,12994.5107421875,15251.708984375
48193,12987.56640625,15251.708984375
48194,12980.6220703125,15251.708984375
48195,12973.677734375,15251.708984375
48196,12966.7333984375,15251.708984375
48197,12959.7890625,15251.708984375
48198,12952.8447265625,15251.708984375
48199,12945.900390625,15251.708984375
48200,12938.9560546875,15251.708984375
48201,12932.01171875,15251.708984375
48202,12925.0673828125,15251.708984375
48203,12918.123046875,15251.708984375
48204,12911.1787109375,15251.708984375
48205,12904.234375,15251.708984375
48206,12897.2900390625,15251.708984375
48207,12890.345703125,15251.708984375
48208,12883.4013671875,15251.708984375
48209,12876.45703125,15251.708984375
48210,12869.5126953125,15251.708984375
48211,12862.568359375,15251.708984375
48212,12855.6240234375,15251.708984375
48213,12848.6796875,15251.708984375
48214,12841.7353515625,15251.708984375
48215,12834.791015625,15251.708984375
48216,12827.8466796875,15251.708984375
48217,12820.90234375,15251.708984375
48218,12813.9580078125,15251.708984375
48219,12807.013671875,15251.708984375
48220,12800.0693359375,15251.708984375
48221,12793.125,15251.708984375
48222,12786.1806640625,15251.708984375
48223,12779.236328125,15251.708984375
48224,12772.2919921875,15251.708984375
48225,12765.34765625,15251.708984375
48226,12758.4033203125,15251.708984375
48227,12751.458984375,15251.708984375
48228,12744.5146484375,15251.708984375
48229,12737.5703125,15251.708984375
48230,12730.6259765625,15251.708984375
48231,12723.681640625,15251.708984375
48232,12716.7373046875,15251.708984375
48233,12709.79296875,15251.708984375
48234,12702.8486328125,15251.708984375
48235,12695.904296875,15251.708984375
48236,12688.9599609375,15251.708984375
48237,12682.015625,15251.708984375
48238,12675.0712890625,15251.708984375
48239,12668.126953125,15251.708984375
48240,12661.1826171875,15251.708984375
48241,12654.23828125,15251.708984375
48242,12647.2939453125,15251.708984375
48243,12640.349609375,15251.708984375
48244,12633.4052734375,15251.708984375
48245,12626.4609375,15251.708984375
48246,12619.5166015625,15251.708984375
48247,12612.572265625,15251.708984375
48248,12605.6279296875,15251.708984375
48249,12598.68359375,15251.708984375
48250,12591.7392578125,15251.708984375
48251,12584.794921875,15251.708984375
48252,12577.8505859375,15251.708984375
48253,12570.90625,15251.708984375
48254,12563.9619140625,15251.708984375
48255,12557.017578125,15251.708984375
48256,12550.0732421875,15251.708984375
48257,12543.12890625,15251.708984375
48258,12536.1845703125,15251.708984375
48259,12529.240234375,15251.708984375
48260,12522.2958984375,15251.708984375
48261,12515.3515625,15251.708984375
48262,12508.4072265625,15251.708984375
48263,12501.462890625,15251.708984375
48264,12494.5185546875,15251.708984375
48265,12487.57421875,15251.708984375
48266,12480.6298828125,15251.708984375
48267,12473.685546875,15251.708984375
48268,12466.7412109375,15251.708984375
48269,12459.796875,15251.708984375
48270,12452.8525390625,15251.708984375
48271,12445.908203125,15251.708984375
48272,12438.9638671875,15251.708984375
48273,12432.01953125,15251.708984375
48274,12425.0751953125,15251.708984375
48275,12418.130859375,15251.708984375
48276,12411.1865234375,15251.708984375
48277,12404.2421875,15251.708984375
48278,12397.2978515625,15251.708984375
48279,12390.353515625,15251.708984375
48280,12383.4091796875,15251.708984375
48281,12376.46484375,15251.708984375
48282,12369.5205078125,15251.708984375
48283,12362.576171875,15251.708984375
48284,12355.6318359375,15251.708984375
48285,12348.6875,15251.708984375
48286,12341.7431640625,15251.708984375
48287,12334.798828125,15251.708984375
48288,12327.8544921875,15251.708984375
48289,12320.91015625,15251.708984375
48290,12313.9658203125,15251.708984375
48291,12307.021484375,15251.708984375
48292,12300.0771484375,15251.708984375
48293,12293.1328125,15251.708984375
48294,12286.1884765625,15251.708984375
48295,12279.244140625,15251.708984375
48296,12272.2998046875,15251.708984375
48297,12265.35546875,15251.708984375
48298,12258.4111328125,15251.708984375
48299,12251.466796875,15251.708984375
48300,12244.5224609375,15251.708984375
48301,12237.578125,15251.708984375
48302,12230.6337890625,15251.708984375
48303,12223.689453125,15251.708984375
48304,12216.7451171875,15251.708984375
48305,12209.80078125,15251.708984375
48306,12202.8564453125,15251.708984375
48307,12195.912109375,15251.708984375
48308,12188.9677734375,15251.708984375
48309,12182.0234375,15251.708984375
48310,12175.0791015625,15251.708984375
48311,12168.134765625,15251.708984375
48312,12161.1904296875,15251.708984375
48313,12154.24609375,15251.708984375
48314,12147.3017578125,15251.708984375
48315,12140.357421875,15251.708984375
48316,12133.4130859375,15251.708984375
48317,12126.46875,15251.708984375
48318,12119.5244140625,15251.708984375
48319,12112.580078125,15251.708984375
48320,12105.6357421875,15251.708984375
48321,12098.69140625,15251.708984375
48322,12091.7470703125,15251.708984375
48323,12084.802734375,15251.708984375
48324,12077.8583984375,15251.708984375
48325,12070.9140625,15251.708984375
48326,12063.9697265625,15251.708984375
48327,12057.025390625,15251.708984375
48328,12050.0810546875,15251.708984375
48329,12043.13671875,15251.708984375
48330,12036.1923828125,15251.708984375
48331,12029.248046875,15251.708984375
48332,12022.3037109375,15251.708984375
48333,12015.359375,15251.708984375
48334,12008.4150390625,15251.708984375
48335,12001.470703125,15251.708984375
48336,11994.5263671875,15251.708984375
48337,11987.58203125,15251.708984375
48338,11980.6376953125,15251.708984375
48339,11973.693359375,15251.708984375
48340,11966.7490234375,15251.708984375
48341,11959.8046875,15251.708984375
48342,11952.8603515625,15251.708984375
48343,11945.916015625,15251.708984375
48344,11938.9716796875,15251.708984375
48345,11932.02734375,15251.708984375
48346,11925.0830078125,15251.708984375
48347,11918.138671875,15251.708984375
48348,11911.1943359375,15251.708984375
48349,11904.25,15251.708984375
48350,11897.3056640625,15251.708984375
48351,11890.361328125,15251.708984375
48352,11883.4169921875,15251.708984375
48353,11876.47265625,15251.708984375
48354,11869.5283203125,15251.708984375
48355,11862.583984375,15251.708984375
48356,11855.6396484375,15251.708984375
48357,11848.6953125,15251.708984375
48358,11841.7509765625,15251.708984375
48359,11834.806640625,15251.708984375
48360,11827.8623046875,15251.708984375
48361,11820.91796875,15251.708984375
48362,11813.9736328125,15251.708984375
48363,11807.029296875,15251.708984375
48364,11800.0849609375,15251.708984375
48365,11793.140625,15251.708984375
48366,11786.1962890625,15251.708984375
48367,11779.251953125,15251.708984375
48368,11772.3076171875,15251.708984375
48369,11765.36328125,15251.708984375
48370,11758.4189453125,15251.708984375
48371,11751.474609375,15251.708984375
48372,11744.5302734375,15251.708984375
48373,11737.5859375,15251.708984375
48374,11730.6416015625,15251.708984375
48375,11723.697265625,15251.708984375
48376,11716.7529296875,15251.708984375
48377,11709.80859375,15251.708984375
48378,11702.8642578125,15251.708984375
48379,11695.919921875,15251.708984375
48380,11688.9755859375,15251.708984375
48381,11682.03125,15251.708984375
48382,11675.0869140625,15251.708984375
48383,11668.142578125,15251.708984375
48384,11664.0009765625,15251.708984375
48385,11664.0009765625,15244.7646484375
48386,11664.0009765625,15237.8203125
48387,11664.0009765625,15230.8759765625
48388,11664.0009765625,15223.931640625
48389,11664.0009765625,15216.9873046875
48390,11664.0009765625,15210.04296875
48391,11664.0009765625,15203.0986328125
48392,11664.0009765625,15196.154296875
48393,11664.0009765625,15189.2099609375
48394,11664.0009765625,15182.265625
48395,11664.0009765625,15175.3212890625
48396,11664.0009765625,15168.376953125
48397,11664.0009765625,15161.4326171875
48398,11664.0009765625,15154.48828125
48399,11664.0009765625,15147.5439453125
48400,11664.0009765625,15140.599609375
48401,11664.0009765625,15133.6552734375
48402,11664.0009765625,15126.7109375
48403,11664.0009765625,15119.7666015625
48404,11664.0009765625,15112.822265625
48405,11664.0009765625,15105.8779296875
48406,11664.0009765625,15098.93359375
48407,11664.0009765625,15091.9892578125
48408,11664.0009765625,15085.044921875
48409,11664.0009765625,15078.1005859375
48410,11664.0009765625,15071.15625
48411,11664.0009765625,15064.2119140625
48412,11664.0009765625,15057.267578125
48413,11664.0009765625,15050.3232421875
48414,11664.0009765625,15043.37890625
48415,11664.0009765625,15036.4345703125
48416,11664.0009765625,15029.490234375
48417,11664.0009765625,15022.5458984375
48418,11664.0009765625,15015.6015625
48419,11664.0009765625,15008.6572265625
48420,11664.0009765625,15001.712890625
48421,11664.0009765625,14994.7685546875
48422,11664.0009765625,14987.9287109375
48423,11664.0009765625,14987.9287109375
48424,11664.0009765625,14987.9287109375
48425,11664.0009765625,14987.9287109375
48426,11664.0009765625,14987.9287109375
48427,11664.0009765625,14987.9287109375
48428,11664.0009765625,14987.9287109375
48429,11664.0009765625,14987.9287109375
48430,11664.0009765625,14987.9287109375
48431,11664.0009765625,14987.9287109375
48432,11664.0009765625,14987.9287109375
48433,11664.0009765625,14987.9287109375
48434,11664.0009765625,14987.9287109375
48435,11664.0009765625,14987.9287109375
48436,11664.0009765625,14987.9287109375
48437,11664.0009765625,14987.9287109375
48438,11664.0009765625,14987.9287109375
48439,11664.0009765625,14987.9287109375
48440,11664.0009765625,14987.9287109375
48441,11664.0009765625,14987.9287109375
48442,11664.0009765625,14987.9287109375
48443,11664.0009765625,14987.9287109375
48444,11664.0009765625,14987.9287109375
48445,11664.0009765625,14987.9287109375
48446,11664.0009765625,14987.9287109375
48447,11664.0009765625,14987.9287109375
48448,11664.0009765625,14987.9287109375
48449,11664.0009765625,14987.9287109375
48450,11664.0009765625,14987.9287109375
48451,11664.0009765625,14987.9287109375
48452,11664.0009765625,14987.9287109375
48453,11664.0009765625,14987.9287109375
48454,11664.0009765625,14987.9287109375
48455,11664.0009765625,14987.9287109375
48456,11664.0009765625,14987.9287109375
48457,11664.0009765625,14987.9287109375
48458,11664.0009765625,14987.9287109375
48459,11664.0009765625,14987.9287109375
48460,11664.0009765625,14987.9287109375
48461,11664.0009765625,14987.9287109375
48462,11664.0009765625,14987.9287109375
48463,11664.0009765625,14987.9287109375
48464,11664.0009765625,14987.9287109375
48465,11664.0009765625,14987.9287109375
48466,11664.0009765625,14987.9287109375
48467,11664.0009765625,14987.9287109375
48468,11664.0009765625,14987.9287109375
48469,11664.0009765625,14987.9287109375
48470,11664.0009765625,14987.9287109375
48471,11664.0009765625,14987.9287109375
48472,11664.0009765625,14987.9287109375
48473,11664.0009765625,14987.9287109375
48474,11664.0009765625,14987.9287109375
48475,11664.0009765625,14987.9287109375
48476,11664.0009765625,14987.9287109375
48477,11664.0009765625,14987.9287109375
48478,11664.0009765625,14987.9287109375
48479,11664.0009765625,14987.9287109375
48480,11664.0009765625,14987.9287109375
48481,11664.0009765625,14987.9287109375
48482,11664.0009765625,14987.9287109375
48483,11664.0009765625,14987.9287109375
48484,11664.0009765625,14987.9287109375
48485,11664.0009765625,14987.9287109375
48486,11664.0009765625,14987.9287109375
48487,11664.0009765625,14987.9287109375
48488,11664.0009765625,14987.9287109375
48489,11664.0009765625,14987.9287109375
48490,11664.0009765625,14987.9287109375
48491,11664.0009765625,14987.9287109375
48492,11664.0009765625,14987.9287109375
48493,11664.0009765625,14987.9287109375
48494,11664.0009765625,14987.9287109375
48495,11664.0009765625,14987.9287109375
48496,11664.0009765625,14987.9287109375
48497,11664.0009765625,14987.9287109375
48498,11664.0009765625,14987.9287109375
48499,11664.0009765625,14987.9287109375
48500,11664.0009765625,14987.9287109375
48501,11664.0009765625,14987.9287109375
48502,11664.0009765625,14987.9287109375
48503,11664.0009765625,14987.9287109375
48504,11664.0009765625,14987.9287109375
48505,11664.0009765625,14987.9287109375
48506,11664.0009765625,14987.9287109375
48507,11664.0009765625,14987.9287109375
48508,11664.0009765625,14987.9287109375
48509,11664.0009765625,14987.9287109375
48510,11664.0009765625,14987.9287109375
48511,11664.0009765625,14987.9287109375
48512,11664.0009765625,14987.9287109375
48513,11664.0009765625,14987.9287109375
48514,11664.0009765625,14987.9287109375
48515,11664.0009765625,14987.9287109375
48516,11664.0009765625,14987.9287109375
48517,11664.0009765625,14987.9287109375
48518,11664.0009765625,14987.9287109375
48519,11664.0009765625,14987.9287109375
48520,11664.0009765625,14987.9287109375
48521,11664.0009765625,14987.9287109375
48522,11664.0009765625,14987.9287109375
48523,11664.0009765625,14987.9287109375
48524,11664.0009765625,14987.9287109375
48525,11664.0009765625,14987.9287109375
48526,11664.0009765625,14987.9287109375
48527,11664.0009765625,14987.9287109375
48528,11664.0009765625,14987.9287109375
48529,11664.0009765625,14987.9287109375
48530,11664.0009765625,14987.9287109375
48531,11664.0009765625,14987.9287109375
48532,11664.0009765625,14987.9287109375
48533,11664.0009765625,14987.9287109375
48534,11664.0009765625,14987.9287109375
48535,11664.0009765625,14987.9287109375
48536,11664.0009765625,14987.9287109375
48537,11664.0009765625,14987.9287109375
48538,11664.0009765625,14987.9287109375
48539,11664.0009765625,14987.9287109375
48540,11664.0009765625,14987.9287109375
48541,11664.0009765625,14987.9287109375
48542,11664.0009765625,14987.9287109375
48543,11664.0009765625,14987.9287109375
48544,11664.0009765625,14987.9287109375
48545,11664.0009765625,14987.9287109375
48546,11664.0009765625,14987.9287109375
48547,11664.0009765625,14987.9287109375
