camion,timestamps,camion_pos
2,57442.99206351601,"(8652.951608879532, 15152.313924021331)"
2,57707.99206351601,"(9237.252505926072, 15154.618740119036)"
2,57981.99206351601,"(9780.900890815392, 15052.075052879616)"
2,58317.99206351601,"(10543.256421479748, 14733.294260589595)"
2,58790.99206351601,"(11082.88913192392, 16225.970344716183)"
2,59015.99206351601,"(11367.040819920969, 16253.330581839524)"
2,59225.99206351601,"(11554.511049572282, 16234.96858472316)"
2,59729.99206351601,"(11948.77683387571, 14383.354209391397)"
2,60065.99206351601,"(11901.466680076615, 13352.987277233653)"
2,60377.99206351601,"(11859.843457686551, 12480.364133757863)"
