tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,indicador
1000000000000,1000000000000,1000000000000,47399,False
1000000000000,55052,1000000000000,1000000000000,False
1000000000000,1000000000000,50001,1000000000000,False
1000000000000,51363,1000000000000,1000000000000,False
1000000000000,48183,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,52023,1000000000000,False
53297,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,True
46840,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,50427,1000000000000,False
50844,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,True
50479,1000000000000,1000000000000,1000000000000,True
1000000000000,49132,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
46416,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,54893,False
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,53618,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,54236,1000000000000,1000000000000,False
1000000000000,56920,1000000000000,1000000000000,False
49472,1000000000000,1000000000000,1000000000000,True
1000000000000,50922,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
